identifier,file,description,title,creator,date,adaptive_ocr,better_pdf,mediatype,pinpoint,internet_archive
CBSA_A-2020-12326,atip-files/CBSA ATIPS/CBSA_A-2020-12326.pdf,"Record of the most updated version as of August 12, 2020, of the National Risk Assessment for Detention form.

Dossier de la version la plus à jour en date du 12 août 2020 du formulaire Évaluation nationale des risques en matière de détention.",A-2020-12326,Canada Border Services Agency | Agence des services frontaliers du Canada,2020-09,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2020-12332,atip-files/CBSA ATIPS/CBSA_A-2020-12332.pdf,"Records of the most recent policies, guides, directives, rules, and training manuals relating to the 2015 update of the National Risk Assessment for Detention (NRAD). This includes all internal memorandums and briefing notes relating to the 2015 update of the NRAD; but excludes the Enforcement Manual 20 Detention document.

Dossiers des plus récents guides, politiques, directives, règlements et manuels de formation concernant la mise à jour de 2015 de l’Évaluation nationale des risques en matière de détention (ENRD). Cela comprend l’ensemble des mémorandums et des notes d’information liés à la mise à jour de 2015 de l’ENRD, mais exclut le chapitre 20 - Détention, du Manuel de l’exécution.",A-2020-12332,Canada Border Services Agency | Agence des services frontaliers du Canada,2020-09,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2020-12474,atip-files/CBSA ATIPS/CBSA_A-2020-12474.pdf,"Records from January 1 to December 31, 2018, including Memorandum of Understandings, agreements and related policy documents regarding information sharing on foreign nationals entering Canada between the Canadian Border Services Agency (CBSA) and the Royal Canadian Mounted Police or the CBSA and the Federal Bureau of Investigation. This includes any relevant documents that were in force or applicable during this period such as any policies or guidelines pertaining to the arrest of foreign nationals at ports of entry.

Documents du 1er janvier au 31 décembre 2018, y compris les protocoles d’entente, les ententes et les documents stratégiques connexes portant sur la transmission d’information sur les étrangers qui entrent au Canada entre l’Agence des services frontaliers du Canada (ASFC) et la Gendarmerie royale du Canada ou l’ASFC et le Federal Bureau of Investigation. Comprend tous les documents pertinents qui étaient en vigueur ou applicables pendant cette période (p. ex., politiques ou directives relatives à l’arrestation d’étrangers aux points d’entrée).",A-2020-12474,Canada Border Services Agency | Agence des services frontaliers du Canada,2021-09,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2020-12800,atip-files/CBSA ATIPS/CBSA_A-2020-12800.pdf,"Statistics from November 1, 2018 to March 31, 2020, pertaining to asylum requests of the Temporary Refugee Intake Processing Centres (TRIPCs) in Vancouver, Toronto and Montreal. Broken down by: the number of asylum requests that were submitted per month and by region, and the number of these cases that were referred to the Immigration Refugee Board. Additionally, electronic records of any business cases or Treasury Board submissions created by the TRIPCs. Also, the Organizational structure of the TRIPCs showing the reporting structure and the allocation and the number of Border Services Offices, Superintendents, and administration staff. This excludes the actual names of the persons occupying the positions.

Statistiques du 1er novembre 2018 au 31 mars 2020, relatives aux demandes d'asile des centres de traitement des demandes d'admission temporaire de réfugiés de Vancouver, de Toronto et de Montréal. Ces statistiques sont ventilées comme suit : le nombre de demandes d'asile soumises par mois et par région, et le nombre de ces cas qui ont été transmis à la Commission de l'immigration et du statut de réfugié. De plus, les dossiers électroniques de toutes les analyses de rentabilisation ou présentations au Conseil du Trésor créées par les centres. En outre, la structure organisationnelle des centres montrant la structure hiérarchique ainsi que la répartition et le nombre de bureaux des services frontaliers, de surintendants et de personnel administratif. Ceci exclut les noms des personnes occupant les postes.",A-2020-12800,Canada Border Services Agency | Agence des services frontaliers du Canada,2021-12,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2020-12949,atip-files/CBSA ATIPS/CBSA_A-2020-12949.pdf,"Records from March 1 to August 22, 2020, of information, guidance or advice, from the executive management or the Canada Border Services Agency (CBSA) Labour Relations sent to the CBSA management at the Port of Fort Erie, concerning the management of annual leave or other leave, (excluding code 6990). This includes advice or guidance concerning employee requests to cancel or amend annual leave.

Documents, du 1er mars au 22 août 2020, concernant les renseignements, les orientations ou les conseils de la haute direction ou des Relations de travail de l’Agence des services frontaliers du Canada (ASFC) envoyés à la direction de l’ASFC au bureau de Fort Erie, au sujet de la gestion des congés annuels ou d’autres congés (excluant le code 6990). Il s’agit notamment de conseils ou des orientations concernant les demandes des employés visant à annuler ou à modifier les congés annuels.",A-2020-12949,Canada Border Services Agency | Agence des services frontaliers du Canada,2021-05,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2020-13106,atip-files/CBSA ATIPS/CBSA_A-2020-13106.pdf,"Details on statistics from January 1, 2018 to January 1, 2020, provided in file number A-2020-11770 regarding on the number of mandatory referrals to secondary examinations at Toronto Pearson International Airport, confirming that the only types of targets and lookouts are customs and immigration, explanation of the difference between a National Targeting Centre (NTC) target and lookout, and explaining the difference between a contraband NTC Target and a contraband lookout. Additionally, statistic for this period on mandatory referrals specifically, the number of: NTC targets, NTC contraband targets, lookouts, and contraband lookouts. Further, during this period how many of the NTC Contraband Targets led to: Canada Border Services Agency (CBSA) customs arrests only, CBSA customs arrests, then Royal Canadian Mounted Police (RCMP) arrest, and RCMP arrest only. Similarly, how many of the contraband lookouts led to: CBSA customs arrest only, CBSA customs arrest, then RCMP arrest, and RCMP arrest only. Where applicable statistics on the charges laid by the CBSA or RCMP and number of criminal prosecutions.

Détails sur les statistiques du 1er janvier 2018 au 1er janvier 2020 fournis dans le numéro de dossier A-2020-11770 concernant le nombre de renvois obligatoires aux examens secondaires à l’aéroport international Toronto Pearson confirmant que les seuls types de cibles et d’avis de surveillance sont les douanes et l’immigration, explication de la différence entre une cible et un avis de surveillance du Centre national de ciblage (CNC) et explication de la différence entre le ciblage d’une contrebande du CNC et l’avis de surveillance d’une contrebande. De plus, statistiques sur les renvois obligatoires pendant cette période, spécifiquement le nombre de cibles du CNC, de cibles de contrebande du CNC, d’avis de surveillance et d’avis de surveillance de contrebande. Aussi, pendant cette période, le nombre de cibles de contrebande du CNC qui ont mené à des arrestations aux douanes par l’Agence des services frontaliers du Canada (ASFC) seulement, des arrestations aux douanes par l’ASFC puis par la Gendarmerie royale du Canada (GRC) et des arrestations par la GRC seulement. De même, le nombre d’avis de surveillance de contrebande ayant mené à des arrestations aux douanes par l’ASFC seulement, des arrestations aux douanes par l’ASFC puis par la GRC, et des arrestations par la GRC seulement. Le cas échéant, statistiques sur les accusations déposées par l’ASFC ou la GRC et nombre de poursuites pénales.",A-2020-13106,Canada Border Services Agency | Agence des services frontaliers du Canada,2020-09,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2020-13123,atip-files/CBSA ATIPS/CBSA_A-2020-13123.pdf,"Records of Shift Briefing Bulletins from August 1 to 26, 2020, on restricting the entry of foreign nationals from the United States and other countries and all related annexes and other records relating to entry restrictions.

Dossiers des bulletins d’information de quart de travail du 1er au 26 août 2020 sur les restrictions d’entrée des ressortissants étrangers des États-Unis et d’autres pays, ainsi que les annexes connexes et autres documents relatifs aux restrictions d’entrée.",A-2020-13123,Canada Border Services Agency | Agence des services frontaliers du Canada,2021-05,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2020-15029,atip-files/CBSA ATIPS/CBSA_A-2020-15029.pdf,"Records from January 1, 2019 to September 28, 2020, of all correspondence and documentation relating to the constitutionality of the Safe Third Country Agreement.

Dossiers de toute la correspondance et de toute la documentation liées à la constitutionnalité de l'Entente sur les tiers pays sûrs, entre le 1er janvier 2019 et le 28 septembre 2020.",A-2020-15029,Canada Border Services Agency | Agence des services frontaliers du Canada,2021-06,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2020-16135,atip-files/CBSA ATIPS/CBSA_A-2020-16135.pdf,"Statistics from January 1, 2009 to October 19, 2020, on the illegal importation of firearms broken down by: type of firearm, the port of entry, the country of origin of the firearm and the smuggler.

Statistiques du 1er janvier 2009 au 19 octobre 2020 sur l’importation illégale d’armes à feu ventilées par : type d’arme à feu, point d’entrée, pays d’origine de l’arme à feu et passeur.",A-2020-16135,Canada Border Services Agency | Agence des services frontaliers du Canada,2021-01,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2020-16582,atip-files/CBSA ATIPS/CBSA_A-2020-16582.pdf,"Records as of October 26, 2020, including emails, briefing materials, meeting minutes, records of decision, or other materials used in the evaluation of the use of the ""thin-blue-line"" by members of the Canada Border Services Agency.

Documents en date du 26 octobre 2020, y compris les courriels, les documents d'information, les comptes rendus de réunion, les comptes rendus de décisions ou d'autres documents utilisés dans l'évaluation de l'utilisation de la ligne bleue mince par le personnel de l'Agence des services frontaliers du Canada.",A-2020-16582,Canada Border Services Agency | Agence des services frontaliers du Canada,2021-12,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2020-17690,atip-files/CBSA ATIPS/CBSA_A-2020-17690.pdf,"A list of the expenses filed by the Canada Border Services Agency Removals Officer Dale Lewis, from January 1, 2019 to November 13, 2020. This includes a description and amount for each expense, and if the expense was reimbursed. This excludes any receipts.

Une liste des dépenses déposées par l’agent de renvoi de l’Agence des services frontaliers du Canada, Dale Lewis, du 1er janvier 2019 au 13 novembre 2020. Cela comprend une description et un montant pour chaque dépense, ou si la dépense a été remboursée. Cela exclut les reçus.",A-2020-17690,Canada Border Services Agency | Agence des services frontaliers du Canada,2021-07,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2020-17696,atip-files/CBSA ATIPS/CBSA_A-2020-17696.pdf,"Statistics from January 1, 2015 to November 13, 2020, concerning shark fins, shark fin products, shark fin by-products. This includes statistics on shark fins imported and exported in to or from Canada, cites where violations took place, data on seizures of illegal shark fins or products, shark fin quantities desegregated by ports, and place of origin of import. Further records on the process of examination for all dried fish products in Canada including shark fins, the criteria by which shark fins are examined upon entry into Canada, the declaration forms required for completion in the import of shark fins into Canada, and all permits that have been issued with Minister of Public Safety and Emergency Preparedness’ permission to import shark fins not attached to the body of the shark. Records relating to shark fins and: the process to determine legality of an imported item, DNA testing reports, policies and practices to determine cites, and appendix classification of shark fins in Canada. Additionally, records of shark fin tracking and determination of illegal products importation and exportation.

Statistiques pour la période du 1er janvier 2015 au 13 novembre 2020 concernant les ailerons de requins, ainsi que leurs produits et sous-produits. La demande comprend les statistiques sur les ailerons de requins importés au Canada et exportés du Canada, les villes où les violations ont eu lieu, les données sur les saisies d’ailerons de requins ou de leurs produits illégaux, les quantités d’ailerons de requin, réparties par port et par lieu d’origine de l’importation. Autres documents sur le processus d’examen de tous les produits de poissons séchés au Canada, y compris les ailerons de requin, les critères d’examen des ailerons de requins à leur entrée au Canada, les formulaires de déclaration requis pour l’importation des ailerons de requins au Canada, et tous les permis délivrés avec la permission du ministre de la Sécurité publique et de la Protection civile pour importer des ailerons de requins non attachés au corps du requin. Documents relatifs aux ailerons de requins et : processus permettant de déterminer la légalité d’une importation; rapports de tests d’ADN; politiques et pratiques permettant de déterminer l’application de la CITES et classification en annexe des ailerons de requins au Canada. Aussi, documents sur le suivi des ailerons de requins et sur la détermination des décisions concernant les importations et les exportations des produits illégaux.",A-2020-17696,Canada Border Services Agency | Agence des services frontaliers du Canada,2021-02,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2020-18107,atip-files/CBSA ATIPS/CBSA_A-2020-18107.pdf,"Records including reports, research publications and investigations on how Gabriel Wortman obtained firearms he used in the Nova Scotia Shooting. This includes information on the source of these illegal firearms and how they were smuggled into Canada. In particular, briefing materials sent to the Prime Minister and other Cabinet Ministers, including Briefing Note: 20-01411 – Nova Scotia Mass Shooting Review, June 8, 2020.

Documents comprenant des rapports, des publications de recherche et des enquêtes sur la façon dont Gabriel Wortman a obtenu les armes à feu qu’il a utilisées lors de la fusillade en Nouvelle-Écosse. La demande comprend des renseignements sur la provenance de ces armes à feu illégales et sur la façon dont elles ont été introduites clandestinement au Canada. En particulier, les documents d’information envoyés au premier ministre et aux autres ministres du Cabinet, notamment la note d’information : 20-01411 - Examen de la fusillade en Nouvelle-Écosse, 8 juin 2020.",A-2020-18107,Canada Border Services Agency | Agence des services frontaliers du Canada,2021-04,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2020-18322,atip-files/CBSA ATIPS/CBSA_A-2020-18322.pdf,"The Canada Border Services Agency's (CBSA) policy on the use of personal phones, phone numbers and personal email addresses by its officers and employees in the course of their CBSA duties or when engaging in work-related correspondence.

La politique de l’Agence des services frontaliers du Canada (ASFC) relative à l’utilisation de téléphones, de numéros de téléphone et d’adresses courriel personnels par ses agents et employés dans l’exercice de leurs fonctions à l’ASFC ou dans la correspondance liée au travail.",A-2020-18322,Canada Border Services Agency | Agence des services frontaliers du Canada,2021-04,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2020-18484,atip-files/CBSA ATIPS/CBSA_A-2020-18484.pdf,"Records and statistics from January 1 to December 31, 2020, that specifying the name of the directorate, division or person that makes the decision to remove the guns of employees of the Canada Border Services Agency (CBSA) after one year has expired since notice to renew certification qualifications was given. Additionally, the number of extensions given after the said year has expired. Further statistics from January 1, 2018 to December 31, 2020, on the number of CBSA employees that had their guns taken away from them for any length of time.

Documents et statistiques pour la période du 1er janvier au 31 décembre 2020 précisant le nom de la direction, de la division ou de la personne qui prend la décision de retirer les armes à feu aux employés de l’Agence des services frontaliers du Canada (ASFC) un an après la remise de l’avis de renouvellement des qualifications pour l’accréditation. Aussi, nombre de prolongations accordées après l’année en question. Aussi, statistiques pour la période du 1er janvier 2018 au 31 décembre 2020 sur le nombre d’employés de l’ASFC qui se sont fait enlever leur arme à feu pendant une période quelconque.",A-2020-18484,Canada Border Services Agency | Agence des services frontaliers du Canada,2021-02,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2020-18569,atip-files/CBSA ATIPS/CBSA_A-2020-18569.pdf,"Statistics from January 1, 2015 to November 30, 2020, on the number of Immigration fraud reports that have been made to the Canada Border Services Agency annually, broken down by: the number of immigrants having falling victim to ghost consultants, fake businesses, and fake lawyers.

Statistiques du 1er janvier 2015 au 30 novembre 2020 sur le nombre de rapports de fraude en matière d’immigration qui ont été présentés annuellement à l’Agence des services frontaliers du Canada ventilées par : nombre d’immigrants victimes de consultants fantômes, de fausses entreprises et de faux avocats.",A-2020-18569,Canada Border Services Agency | Agence des services frontaliers du Canada,2021-01,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2020-18800,atip-files/CBSA ATIPS/CBSA_A-2020-18800.pdf,"Statistics from January 1, 2018 to December 3, 2020, on the Alternative to Detention (ATD) program including: the average length of time spent by someone in the ATD program; the number of people released from the ATD program; the results from the Greater Toronto Area (GTA) ATD Pilot project; the number of people that were part of GTA ATD pilot; the number of people using electronic monitoring through the ATD program; and the demographics of people using ATD program including refugee claimants and asylum seekers.

Statistiques du 1er janvier 2018 au 3 décembre 2020 sur le programme de Solution de rechange à la détention, notamment : la durée moyenne de la participation au programme, le nombre de personnes ayant été retirées du programme, les résultats du projet pilote sur le programme dans la région du Grand Toronto (RGT), le nombre de personnes ayant pris part au projet pilote sur le programme dans la RGT, le nombre de personnes qui font l'objet de surveillance électronique dans le cadre du programme, ainsi que les données démographiques sur les personnes qui participent au programme, y compris les demandeurs d'asile.",A-2020-18800,Canada Border Services Agency | Agence des services frontaliers du Canada,2021-06,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2020-18814,atip-files/CBSA ATIPS/CBSA_A-2020-18814.pdf,"Phase 2 of A-2019-08108 involving 4 emails and attachments, from February 15, 2019 to May 6, 2019, belonging to Mike Sauve. This excludes records requiring consultation with the Privy Councils Officer or the Department of Justice.

Phase 2 de A-2019-08108 comprenant quatre courriels avec leurs pièces jointes, du 15 février au 6 mai 2019, appartenant à Mike Sauve. Exclut les documents nécessitant des consultations avec le Bureau du Conseil privé ou le ministère de la Justice.",A-2020-18814,Canada Border Services Agency | Agence des services frontaliers du Canada,2021-09,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2020-18973,atip-files/CBSA ATIPS/CBSA_A-2020-18973.pdf,"Records from June 1 to December 1, 2020, concerning contract number 47419-218907/001/ZQ, including solicitation process emails, contract award letters, regret letters, emails with vendors, contract agreements, client/technical authorities, task authorizations with consultants, resource names, contract amendments, and documentation signed by the vendors.

Dossiers du 1er juin au 1er décembre 2020 relatifs au contrat numéro 47419-218907/001/ZQ, incluant les courriels liés au processus de demandes de soumissions, les lettres d'adjudication de contrat, les lettres de refus, les courriels échangés avec des fournisseurs, les ententes contractuelles, les responsables techniques ou chez le client, les autorisations de tâches incluant le nom des consultants et des personnes-ressources, les modifications de contrat et les documents signés par les fournisseurs.",A-2020-18973,Canada Border Services Agency | Agence des services frontaliers du Canada,2022-01,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2020-19095,atip-files/CBSA ATIPS/CBSA_A-2020-19095.pdf,"Statistics from January 1, 2019 to December 31, 2020 concerning communications between Canadian police forces and the Canada Border Services Agency, broken down by the type of communication.

Statistiques du 1er janvier 2019 au 31 décembre 2020 concernant les communications entre les forces de police canadiennes et l’Agence des services frontaliers du Canada, ventilées selon le type de communication.",A-2020-19095,Canada Border Services Agency | Agence des services frontaliers du Canada,2021-07,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2020-19863,atip-files/CBSA ATIPS/CBSA_A-2020-19863.pdf,"Records of emails sent or received by Kim Upper the Acting Director of Fort District, Erie at the Canada Border Services Agency (CBSA), concerning: the work refusal of CBSA Officers on December 15, 2020, the management of leave during the pandemic from December 1 to 22, 2020, and occupational health and safety during this period.

Fichiers des courriels ayant comme expéditrice ou destinataire Kim Upper, directrice intérimaire, district de Fort Erie, Agence des services frontaliers du Canada (ASFC), portant sur le refus de travailler d'agents de l’ASFC le 15 décembre 2020, la gestion des congés pendant la pandémie du 1er au 22 décembre 2020 et la santé et la sécurité au travail durant cette période.",A-2020-19863,Canada Border Services Agency | Agence des services frontaliers du Canada,2021-09,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2021-00201,atip-files/CBSA ATIPS/CBSA_A-2021-00201.pdf,"Statistics from March 1 to December 31, 2020: the total number of international arriving passengers to Canadian airports, bi-monthly number of passengers on international flights arriving at the following international airports in the cities of: Toronto, Calgary, Vancouver, and Montreal. Additionally, for this period the total number by month of international passengers arriving broken down by immigration class: citizens and permanent residents versus all other classes. Further, the total number of international passengers arriving subject to quarantine restrictions per government mandate, and of these the number who received at least one quarantine enforcement contact whether live or robotic phone call. Finally, the total number of quarantine enforcement contacts made during this period.

Les statistiques du 1er mars au 31 décembre 2020 : nombre total de passagers internationaux arrivant aux aéroports canadiens, nombre bimensuel de passagers sur les vols internationaux arrivant aux aéroports internationaux des villes de Toronto, de Calgary, de Vancouver et de Montréal. Aussi, pour la même période, le nombre total par mois de passagers internationaux autorisés à entrer en vertu de la catégorie des citoyens et des résidents permanents par rapport à toutes les autres catégories. Aussi, le nombre total de passagers internationaux arrivant sous réserve de restrictions de quarantaine par mandat gouvernemental, et de ceux-ci, le nombre de passagers ayant reçu au moins un contact de mise en quarantaine, qu’il s’agisse d’un appel téléphonique direct ou robotique. Enfin, le nombre total de contacts en matière d’application de la quarantaine effectués au cours de cette période.",A-2021-00201,Canada Border Services Agency | Agence des services frontaliers du Canada,2021-03,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2021-00990,atip-files/CBSA ATIPS/CBSA_A-2021-00990.pdf,"Records from January 1 to December 31, 2020, including procedures, reports, records, communication pertaining to the Quarterly List of Admissible and Prohibited Titles. Additionally, any records that would explain why the Officers from the Prohibited Importations Unit decided to admit or prohibit a certain items.

Les documents du 1er janvier au 31 décembre 2020, y compris les procédures, les rapports, les dossiers, les communications relatives à la Liste trimestrielle des titres admissibles et prohibés. Aussi, tout document qui expliquerait pourquoi les agents de l’Unité des importations prohibées ont décidé d’admettre ou d’interdire certains articles.",A-2021-00990,Canada Border Services Agency | Agence des services frontaliers du Canada,2021-03,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2021-01159,atip-files/CBSA ATIPS/CBSA_A-2021-01159.pdf,"Phase 2 of request A-2020-02453 that includes 9 emails and attachments belonging to Joseph Chayeski sent or received from May 1, 2019 to February 3, v2020. This excludes records requiring consultations with the Privy Council Office and the Department of Justice.

Phase 2 de la demande A-2020-02453 qui comprend 9 courriels et pièces jointes appartenant à Joseph Chayeski envoyés ou reçus du 1er mai 2019 au 3 février 2020. Cela exclut les documents exigeant des consultations auprès du Bureau du Conseil privé et du ministère de la Justice.",A-2021-01159,Canada Border Services Agency | Agence des services frontaliers du Canada,2021-05,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2021-01193,atip-files/CBSA ATIPS/CBSA_A-2021-01193.pdf,"Statistics from January 18, 2013 to January 18, 2021, on the number of Access to Information Requests made to the Canada Border Services Agency that were completed without a time extension being applied.

Les statistiques du 18 janvier 2013 au 18 janvier 2021 sur le nombre de demandes d’accès à l’information présentées à l’Agence des services frontaliers du Canada qui ont été réglées sans l’application d’une prolongation.",A-2021-01193,Canada Border Services Agency | Agence des services frontaliers du Canada,2021-03,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2021-01564,atip-files/CBSA ATIPS/CBSA_A-2021-01564.pdf,"Records from October 1 to December 31, 2020, of Task and Solutions Professional Services and Task Based Informatics Professional Services Supply Arrangement contracts and Standing Offer call-ups issued in the National Capital Region. This includes contracts and call-ups.

Dossiers du 1er octobre au 31 décembre 2020 de contrats attribués dans le cadre d’un arrangement en matière d’approvisionnement et commandes subséquentes à une offre à commandes en lien avec des services professionnels axés sur les tâches et les solutions ainsi que des services professionnels en informatique centrés sur les tâches dans la région de la capitale nationale. Cela comprend les contrats et les commandes.",A-2021-01564,Canada Border Services Agency | Agence des services frontaliers du Canada,2022-02,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2021-02190,atip-files/CBSA ATIPS/CBSA_A-2021-02190.pdf,"Records of proposals including technical bids, financial bids, and certification received for Solicitation number 1000354702, for Task and Solutions Based Professional Services Supply Arrangement, Senior Staffing Consultant.

Dossiers de propositions, incluant les soumissions techniques, les soumissions financières et les certifications reçues pour l'appel d'offres numéro 1000354702, pour les Services professionnels centrés sur les tâches et les solutions - Arrangement en matière d'approvisionnement, consultant principal de la dotation.",A-2021-02190,Canada Border Services Agency | Agence des services frontaliers du Canada,2022-01,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2021-02382,atip-files/CBSA ATIPS/CBSA_A-2021-02382.pdf,"Records from January 1, 2018 to February 1, 2021, of purchase orders for hard cases used for transporting items such as: firearms, lap top computers, emergency medical supplies, surveillance equipment, digital hardware, investigation equipment, night vision equipment, and mobile communications case used for rapid deployment.

Dossiers du 1er janvier 2018 au 1er février 2021 des commandes d’achat de mallettes rigides utilisées pour le transport d’articles tels que : armes à feu, ordinateurs portatifs, fournitures médicales d’urgence, équipement de surveillance, matériel numérique, équipement d’enquête, équipement de vision nocturne et valise de communication mobile utilisée pour un déploiement rapide.",A-2021-02382,Canada Border Services Agency | Agence des services frontaliers du Canada,2021-05,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2021-02394,atip-files/CBSA ATIPS/CBSA_A-2021-02394.pdf,"Statistics from January 1, 2018 to December 31, 2020, on the number of individuals who had visitor status in Canada and who were issued removals orders to leave Canada broken down by the country of citizenship.

Les statistiques du 1er janvier 2018 au 31 décembre 2020 sur le nombre de personnes ayant eu un statut de visiteur au Canada et qui ont reçu une mesure de renvoi pour quitter le Canada, ventilées par pays de citoyenneté.",A-2021-02394,Canada Border Services Agency | Agence des services frontaliers du Canada,2021-03,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2021-02652,atip-files/CBSA ATIPS/CBSA_A-2021-02652.pdf,"Records from January 1, 2010 to December 31, 2020, concerning the Canadian Institute of Procurement and Material Management (CIPMM) annual National Workshop generally held around June each year. Specifically: the number and the names of Canada Border Services Agency (CBSA) staff who attended CIPMM annual workshop, what was cost of registration paid by the CBSA each year, and which departmental budget paid for this expense. Additionally, any reports submitted to the CBSA by the attendees following the workshop.

Les documents du 1er janvier 2010 au 31 décembre 2020 concernant l’atelier national annuel de l’Institut canadien d’approvisionnement et de gestion du matériel, qui se tient généralement aux alentours de juin. Plus précisément : le nombre et le nom des membres du personnel de l’Agence des services frontaliers du Canada ayant participé à l’atelier annuel de l’Institut, le coût de l’inscription payée par l’ASFC chaque année à cette fin et le budget du Ministère qui a financé cette dépense. Aussi, tous les rapports soumis à l’ASFC par les participants à la suite de l’atelier.",A-2021-02652,Canada Border Services Agency | Agence des services frontaliers du Canada,2021-03,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2021-02722,atip-files/CBSA ATIPS/CBSA_A-2021-02722.pdf,"Briefing note: 20-02757 - Proposed 50(e) stay for access to permanent residence for eligible asylum seekers working in the health sector during the COVID-19 pandemic, December 1, 2020.

Note de breffage : 20-02757 – Sursis à l'exécution d'une mesure de renvoi proposé en application de l'alinéa 50e) pour voie d'accès à la résidence permanente pour les demandeurs d'asile admissibles travaillant dans le secteur de la santé durant la pandémie de COVID-19, le 1er décembre 2020.",A-2021-02722,Canada Border Services Agency | Agence des services frontaliers du Canada,2020-11,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2021-02802,atip-files/CBSA ATIPS/CBSA_A-2021-02802.pdf,"Records of the Queenston Bridge Traffic Superintendent's Meeting Minutes held from January 1, 2014 to January 1, 2021. Copies of the notebooks of the following Border Services Officers since the beginning of their career until their last day at work or until February 8, 2021: Candace Ricci, Robert Eskritt, Seanna Barnett, Brendan Fawcett, Brian Eden, Brett Dickinson, Erica Hamilton, Annette Tennier, Neil Mooney, Chantale Nichols, Adriana Pilato, Janand Smith, Brad Maurich, Geoff Murdoch, Adam Palechuck, Nicole Shedden, and Julie Risk.

Procès-verbal de réunions du surintendant de la circulation sur le pont Queenston tenues du 1er janvier 2014 au 1er janvier 2021. Une copie des carnets des agents des services frontaliers suivants depuis le début de leur carrière jusqu’à leur dernier jour de travail ou jusqu’au 8 février 2021 : Candace Ricci, Robert Eskritt, Seanna Barnett, Brendan Fawcett, Brian Eden, Brett Dickinson, Erica Hamilton, Annette Tennier, Neil Mooney, Chantale Nichols, Adriana Pilato, Janand Smith, Brad Maurich, Geoff Murdoch, Adam Palechuck, Nicole Shedden et Julie Risk.",A-2021-02802,Canada Border Services Agency | Agence des services frontaliers du Canada,2021-03,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2021-02893,atip-files/CBSA ATIPS/CBSA_A-2021-02893.pdf,"Statistics from February 8, 2020 to February 8, 2021, regarding the number of individuals held in detention by the Canada Border Services Agency. Of these migrants in detention, the number that had COVID-19 and how many recovered, including the names of these individuals and their dates of birth.

Statistiques sur le nombre de personnes détenues par l'Agence des services frontaliers du Canada entre le 8 février 2020 et le 8 février 2021; parmi ces migrants en détention, combien ont eu la COVID-19 et s'en sont rétablis (y compris leurs noms et leurs dates de naissance).",A-2021-02893,Canada Border Services Agency | Agence des services frontaliers du Canada,2020-11,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2021-03145,atip-files/CBSA ATIPS/CBSA_A-2021-03145.pdf,"Annual statistics from January 1, 2018 to February 11, 2021, indicating the number of Border Services Officers who have been suspended or dismissed with the reasons for each case, and if the officer was suspended with or without pay.

Statistiques annuelles du 1er janvier 2018 au 11 février 2021 indiquant le nombre d’agents des services frontaliers qui ont été suspendus ou licenciés avec les raisons de chaque cas, et si l’agent a été suspendu avec ou sans salaire.",A-2021-03145,Canada Border Services Agency | Agence des services frontaliers du Canada,2021-05,TRUE,TRUE,text,TRUE,TRUE
